,ONT NE ID,ONT PON Branch ID,OLT Location,Vendor name,Model,Serialnumber,Software revision,Hardware revision,Distance from OLT,Flag for Wholesale or on-net,Consolidated,Uptime - powered,Uptime - online,Hierarchy Path,Flag for B2B or B2C.,Latitude,Longitude
22,DTAL011:1/1/1/4/3,DTAL_0010_101_2_2021_2_308_26,Dundrum,Nokia,XS-010X-Q,SMBS03458428,3FE49337AOCK122,3FE49331BAAA43,18.1km,On-Net,N,57 days : 2hrs : 30s,45 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.300967, -6.204509
23,DTAL011:1/1/1/4/4,DTAL_0010_101_2_2021_2_308_26,Dundrum,Nokia,XS-010X-Q,SMBS03458429,3FE49337AOCK123,3FE49331BAAA44,18.1km,On-Net,N,58 days : 2hrs : 30s,46 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.293698,-6.196543
24,DTAL011:1/1/1/4/5,DTAL_008_101_2_2021_2_308_39,Dundrum,Nokia,XS-010X-Q,SMBS03458430,3FE49337AOCK124,3FE49331BAAA45,18.1km,On-Net,N,59 days : 2hrs : 30s,47 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.280745, -6.208258
25,DTAL011:1/1/1/4/6,DTAL_008_101_2_2021_2_308_40,Dundrum,Nokia,XS-010X-Q,SMBS03458431,3FE49337AOCK125,3FE49331BAAA46,18.1km,On-Net,N,60 days : 2hrs : 30s,48 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.274739,-6.236027
26,DTAL011:1/1/1/4/7,DTAL_0010_101_2_2021_2_308_26,Dundrum,Nokia,XS-010X-Q,SMBS03458432,3FE49337AOCK126,3FE49331BAAA47,18.1km,On-Net,N,61 days : 2hrs : 30s,49 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.27508,-6.260585
27,DTAL011:1/1/1/4/8,DTAL_0010_101_2_2021_2_308_26,Dundrum,Nokia,XS-010X-Q,SMBS03458433,3FE49337AOCK127,3FE49331BAAA48,18.1km,On-Net,N,62 days : 2hrs : 30s,50 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.291911,-6.281536
28,DTAL011:1/1/1/4/9,DTAL_008_101_2_2021_2_308_41,Dundrum,Nokia,XS-010X-Q,SMBS03458434,3FE49337AOCK128,3FE49331BAAA49,18.1km,On-Net,N,63 days : 2hrs : 30s,51 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.285088, -6.291807
29,DTAL011:1/1/1/4/10,DTAL_008_101_2_2021_2_308_42,Dundrum,Nokia,XS-010X-Q,SMBS03458435,3FE49337AOCK129,3FE49331BAAA50,18.1km,On-Net,N,64 days : 2hrs : 30s,52 days : 1 hr : 46 mins,VMIE->DTAL011,Residential,53.291911,-6.250778
30,DTAL012:1/1/1/5/1,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458436,3FE49337AOCK130,3FE49331BAAA51,18.1km,On-Net,N,65 days : 2hrs : 30s,53 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.350074,-6.239452
31,DTAL012:1/1/1/5/2,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458437,3FE49337AOCK131,3FE49331BAAA52,18.1km,On-Net,N,66 days : 2hrs : 30s,54 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.349168,-6.232186
32,DTAL012:1/1/1/5/3,DTAL_008_101_2_2021_2_308_43,The Docklands,Nokia,XS-010X-Q,SMBS03458438,3FE49337AOCK132,3FE49331BAAA53,18.1km,On-Net,N,67 days : 2hrs : 30s,55 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.347809,-6.237717
33,DTAL012:1/1/1/5/4,DTAL_008_101_2_2021_2_308_44,The Docklands,Nokia,XS-010X-Q,SMBS03458439,3FE49337AOCK133,3FE49331BAAA54,18.1km,On-Net,N,68 days : 2hrs : 30s,56 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.3481,-6.247532
34,DTAL012:1/1/1/5/5,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458440,3FE49337AOCK134,3FE49331BAAA55,18.1km,On-Net,N,69 days : 2hrs : 30s,57 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.346481,-6.247532
35,DTAL012:1/1/1/5/6,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458441,3FE49337AOCK135,3FE49331BAAA56,18.1km,On-Net,N,70 days : 2hrs : 30s,58 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.345899,-6.242434
36,DTAL012:1/1/1/5/7,DTAL_008_101_2_2021_2_308_45,The Docklands,Nokia,XS-010X-Q,SMBS03458442,3FE49337AOCK136,3FE49331BAAA57,18.1km,On-Net,N,71 days : 2hrs : 30s,59 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.345348,-6.233867
37,DTAL012:1/1/1/5/8,DTAL_008_101_2_2021_2_308_46,The Docklands,Nokia,XS-010X-Q,SMBS03458443,3FE49337AOCK137,3FE49331BAAA58,18.1km,On-Net,N,72 days : 2hrs : 30s,60 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.344474,-6.24276
38,DTAL012:1/1/1/5/9,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458444,3FE49337AOCK138,3FE49331BAAA59,18.1km,On-Net,N,73 days : 2hrs : 30s,61 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.345478,-6.246122
39,DTAL012:1/1/1/5/10,DTAL_0010_101_2_2021_2_308_26,The Docklands,Nokia,XS-010X-Q,SMBS03458445,3FE49337AOCK139,3FE49331BAAA60,18.1km,On-Net,N,74 days : 2hrs : 30s,62 days : 1 hr : 46 mins,VMIE->DTAL012,Residential,53.346222,-6.251327
40,DTAL013:1/1/1/6/1,DTAL_008_101_2_2021_2_308_47,Glasnevin,Nokia,XS-010X-Q,SMBS03458446,3FE49337AOCK140,3FE49331BAAA61,18.1km,On-Net,N,75 days : 2hrs : 30s,63 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.391614,-6.27385
41,DTAL013:1/1/1/6/2,DTAL_008_101_2_2021_2_308_48,Glasnevin,Nokia,XS-010X-Q,SMBS03458447,3FE49337AOCK141,3FE49331BAAA62,18.1km,On-Net,N,76 days : 2hrs : 30s,64 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.388574,-6.268025
42,DTAL013:1/1/1/6/3,DTAL_0010_101_2_2021_2_308_26,Glasnevin,Nokia,XS-010X-Q,SMBS03458448,3FE49337AOCK142,3FE49331BAAA63,18.1km,On-Net,N,77 days : 2hrs : 30s,65 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.385796,-6.26009
43,DTAL013:1/1/1/6/4,DTAL_0010_101_2_2021_2_308_26,Glasnevin,Nokia,XS-010X-Q,SMBS03458449,3FE49337AOCK143,3FE49331BAAA64,18.1km,On-Net,N,78 days : 2hrs : 30s,66 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.382322,-6.262929
44,DTAL013:1/1/1/6/5,DTAL_008_101_2_2021_2_308_49,Glasnevin,Nokia,XS-010X-Q,SMBS03458450,3FE49337AOCK144,3FE49331BAAA65,18.1km,On-Net,N,79 days : 2hrs : 30s,67 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.377979,-6.2606
45,DTAL013:1/1/1/6/6,DTAL_008_101_2_2021_2_308_50,Glasnevin,Nokia,XS-010X-Q,SMBS03458451,3FE49337AOCK145,3FE49331BAAA66,18.1km,On-Net,N,80 days : 2hrs : 30s,68 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.375026,-6.268899
46,DTAL013:1/1/1/6/7,DTAL_0010_101_2_2021_2_308_26,Glasnevin,Nokia,XS-010X-Q,SMBS03458452,3FE49337AOCK146,3FE49331BAAA67,18.1km,On-Net,N,81 days : 2hrs : 30s,69 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.379065,-6.27334
47,DTAL013:1/1/1/6/8,DTAL_0010_101_2_2021_2_308_26,Glasnevin,Nokia,XS-010X-Q,SMBS03458453,3FE49337AOCK147,3FE49331BAAA68,18.1km,On-Net,N,82 days : 2hrs : 30s,70 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.382843,-6.275597
48,DTAL013:1/1/1/6/9,DTAL_008_101_2_2021_2_308_51,Glasnevin,Nokia,XS-010X-Q,SMBS03458454,3FE49337AOCK148,3FE49331BAAA69,18.1km,On-Net,N,83 days : 2hrs : 30s,71 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.384623,-6.271811
49,DTAL013:1/1/1/6/10,DTAL_008_101_2_2021_2_308_52,Glasnevin,Nokia,XS-010X-Q,SMBS03458455,3FE49337AOCK149,3FE49331BAAA70,18.1km,On-Net,N,84 days : 2hrs : 30s,72 days : 1 hr : 46 mins,VMIE->DTAL013,Residential,53.388227,-6.271229
50,DTAL020:1/1/3/1/1,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458456,3FE49337AOCK150,3FE49331BAAA71,18.1km,On-Net,N,85 days : 2hrs : 30s,73 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.455812,-6.219656
51,DTAL020:1/1/3/1/2,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458457,3FE49337AOCK151,3FE49331BAAA72,18.1km,On-Net,N,86 days : 2hrs : 30s,74 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.459839,-6.222564
52,DTAL020:1/1/3/1/3,DTAL_008_101_2_2021_2_308_53,Swords,Nokia,XS-010X-Q,SMBS03458458,3FE49337AOCK152,3FE49331BAAA73,18.1km,On-Net,N,87 days : 2hrs : 30s,75 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.459532,-6.214839
53,DTAL020:1/1/3/1/4,DTAL_008_101_2_2021_2_308_54,Swords,Nokia,XS-010X-Q,SMBS03458459,3FE49337AOCK153,3FE49331BAAA74,18.1km,On-Net,N,88 days : 2hrs : 30s,76 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.45759,-6.208831
54,DTAL020:1/1/3/1/5,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458460,3FE49337AOCK154,3FE49331BAAA75,18.1km,On-Net,N,89 days : 2hrs : 30s,77 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.454626,-6.206428
55,DTAL020:1/1/3/1/6,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458461,3FE49337AOCK155,3FE49331BAAA76,18.1km,On-Net,N,90 days : 2hrs : 30s,78 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.446448,-6.208144
56,DTAL020:1/1/3/1/7,DTAL_008_101_2_2021_2_308_55,Swords,Nokia,XS-010X-Q,SMBS03458462,3FE49337AOCK156,3FE49331BAAA77,18.1km,On-Net,N,91 days : 2hrs : 30s,79 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.444506,-6.201793
57,DTAL020:1/1/3/1/8,DTAL_008_101_2_2021_2_308_56,Swords,Nokia,XS-010X-Q,SMBS03458463,3FE49337AOCK157,3FE49331BAAA78,18.1km,On-Net,N,92 days : 2hrs : 30s,80 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.446039,-6.229774
58,DTAL020:1/1/3/1/9,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458464,3FE49337AOCK158,3FE49331BAAA79,18.1km,On-Net,N,93 days : 2hrs : 30s,81 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.450844,-6.23767
59,DTAL020:1/1/3/1/10,DTAL_0010_101_2_2021_2_308_26,Swords,Nokia,XS-010X-Q,SMBS03458465,3FE49337AOCK159,3FE49331BAAA80,18.1km,On-Net,N,94 days : 2hrs : 30s,82 days : 1 hr : 46 mins,VMIE->DTAL020,Residential,53.453604,-6.232177
60,DTAL025:1/1/4/1/1,DTAL_008_101_2_2021_2_308_57,Lisburn,Nokia,XS-010X-Q,SMBS03458466,3FE49337AOCK160,3FE49331BAAA81,18.1km,On-Net,N,95 days : 2hrs : 30s,83 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.529853,-6.060598
61,DTAL025:1/1/4/1/2,DTAL_008_101_2_2021_2_308_58,Lisburn,Nokia,XS-010X-Q,SMBS03458467,3FE49337AOCK161,3FE49331BAAA82,18.1km,On-Net,N,96 days : 2hrs : 30s,84 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.528723,-6.051285
62,DTAL025:1/1/4/1/3,DTAL_0010_101_2_2021_2_308_26,Lisburn,Nokia,XS-010X-Q,SMBS03458468,3FE49337AOCK162,3FE49331BAAA83,18.1km,On-Net,N,97 days : 2hrs : 30s,85 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.526908,-6.042875
63,DTAL025:1/1/4/1/4,DTAL_0010_101_2_2021_2_308_26,Lisburn,Nokia,XS-010X-Q,SMBS03458469,3FE49337AOCK163,3FE49331BAAA84,18.1km,On-Net,N,98 days : 2hrs : 30s,86 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.525447,-6.038084
64,DTAL025:1/1/4/1/5,DTAL_008_101_2_2021_2_308_59,Lisburn,Nokia,XS-010X-Q,SMBS03458470,3FE49337AOCK164,3FE49331BAAA85,18.1km,On-Net,N,99 days : 2hrs : 30s,87 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.520688,-6.03589
65,DTAL025:1/1/4/1/6,DTAL_008_101_2_2021_2_308_60,Lisburn,Nokia,XS-010X-Q,SMBS03458471,3FE49337AOCK165,3FE49331BAAA86,18.1km,On-Net,N,100 days : 2hrs : 30s,88 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.514173,-6.027164
66,DTAL025:1/1/4/1/7,DTAL_0010_101_2_2021_2_308_26,Lisburn,Nokia,XS-010X-Q,SMBS03458472,3FE49337AOCK166,3FE49331BAAA87,18.1km,On-Net,N,101 days : 2hrs : 30s,89 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.502552,-6.051751
67,DTAL025:1/1/4/1/8,DTAL_0010_101_2_2021_2_308_26,Lisburn,Nokia,XS-010X-Q,SMBS03458473,3FE49337AOCK167,3FE49331BAAA88,18.1km,On-Net,N,102 days : 2hrs : 30s,90 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.508148,-6.078563
68,DTAL025:1/1/4/1/9,DTAL_008_101_2_2021_2_308_61,Lisburn,Nokia,XS-010X-Q,SMBS03458474,3FE49337AOCK168,3FE49331BAAA89,18.1km,On-Net,N,103 days : 2hrs : 30s,91 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.516837,-6.084896
69,DTAL025:1/1/4/1/10,DTAL_008_101_2_2021_2_308_62,Lisburn,Nokia,XS-010X-Q,SMBS03458475,3FE49337AOCK169,3FE49331BAAA90,18.1km,On-Net,N,104 days : 2hrs : 30s,92 days : 1 hr : 46 mins,VMIE->DTAL025,Residential,54.528032,-6.078429
70,DTAL028:1/1/5/1/1,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458476,3FE49337AOCK170,3FE49331BAAA91,18.1km,On-Net,N,105 days : 2hrs : 30s,93 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.919919,-8.477799
71,DTAL028:1/1/5/1/2,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458477,3FE49337AOCK171,3FE49331BAAA92,18.1km,On-Net,N,106 days : 2hrs : 30s,94 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.911731,-8.461549
72,DTAL028:1/1/5/1/3,DTAL_008_101_2_2021_2_308_63,Cork,Nokia,XS-010X-Q,SMBS03458478,3FE49337AOCK172,3FE49331BAAA93,18.1km,On-Net,N,107 days : 2hrs : 30s,95 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.899022,-8.426988
73,DTAL028:1/1/5/1/4,DTAL_008_101_2_2021_2_308_64,Cork,Nokia,XS-010X-Q,SMBS03458479,3FE49337AOCK173,3FE49331BAAA94,18.1km,On-Net,N,108 days : 2hrs : 30s,96 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.886027,-8.445299
74,DTAL028:1/1/5/1/5,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458480,3FE49337AOCK174,3FE49331BAAA95,18.1km,On-Net,N,109 days : 2hrs : 30s,97 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.87105,-8.467042
75,DTAL028:1/1/5/1/6,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458481,3FE49337AOCK175,3FE49331BAAA96,18.1km,On-Net,N,110 days : 2hrs : 30s,98 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.885604,-8.496567
76,DTAL028:1/1/5/1/7,DTAL_008_101_2_2021_2_308_65,Cork,Nokia,XS-010X-Q,SMBS03458482,3FE49337AOCK176,3FE49331BAAA97,18.1km,On-Net,N,111 days : 2hrs : 30s,99 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.89874,-8.503891
77,DTAL028:1/1/5/1/8,DTAL_008_101_2_2021_2_308_66,Cork,Nokia,XS-010X-Q,SMBS03458483,3FE49337AOCK177,3FE49331BAAA98,18.1km,On-Net,N,112 days : 2hrs : 30s,100 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.907636,-8.500687
78,DTAL028:1/1/5/1/9,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458484,3FE49337AOCK178,3FE49331BAAA99,18.1km,On-Net,N,113 days : 2hrs : 30s,101 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.913143,-8.490616
79,DTAL028:1/1/5/1/10,DTAL_0010_101_2_2021_2_308_26,Cork,Nokia,XS-010X-Q,SMBS03458485,3FE49337AOCK179,3FE49331BAAA100,18.1km,On-Net,N,114 days : 2hrs : 30s,102 days : 1 hr : 46 mins,VMIE->DTAL028,Residential,51.921613,-8.465897
80,DTAL030:1/1/6/1/1,DTAL_008_101_2_2021_2_308_67,Belfast,Nokia,XS-010X-Q,SMBS03458486,3FE49337AOCK180,3FE49331BAAA101,18.1km,On-Net,N,115 days : 2hrs : 30s,103 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.638892,-5.939861
81,DTAL030:1/1/6/1/2,DTAL_008_101_2_2021_2_308_68,Belfast,Nokia,XS-010X-Q,SMBS03458487,3FE49337AOCK181,3FE49331BAAA102,18.1km,On-Net,N,116 days : 2hrs : 30s,104 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.622841,-5.916884
82,DTAL030:1/1/6/1/3,DTAL_0010_101_2_2021_2_308_26,Belfast,Nokia,XS-010X-Q,SMBS03458488,3FE49337AOCK182,3FE49331BAAA103,18.1km,On-Net,N,117 days : 2hrs : 30s,105 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.606553,-5.866177
83,DTAL030:1/1/6/1/4,DTAL_0010_101_2_2021_2_308_26,Belfast,Nokia,XS-010X-Q,SMBS03458489,3FE49337AOCK183,3FE49331BAAA104,18.1km,On-Net,N,118 days : 2hrs : 30s,106 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.586357,-5.891531
84,DTAL030:1/1/6/1/5,DTAL_008_101_2_2021_2_308_69,Belfast,Nokia,XS-010X-Q,SMBS03458490,3FE49337AOCK184,3FE49331BAAA105,18.1km,On-Net,N,119 days : 2hrs : 30s,107 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.571662,-5.950954
85,DTAL030:1/1/6/1/6,DTAL_008_101_2_2021_2_308_70,Belfast,Nokia,XS-010X-Q,SMBS03458491,3FE49337AOCK185,3FE49331BAAA106,18.1km,On-Net,N,120 days : 2hrs : 30s,108 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.593014,-5.973931
86,DTAL030:1/1/6/1/7,DTAL_0010_101_2_2021_2_308_26,Belfast,Nokia,XS-010X-Q,SMBS03458492,3FE49337AOCK186,3FE49331BAAA107,18.1km,On-Net,N,121 days : 2hrs : 30s,109 days : 1 hr : 46 mins,VMIE->DTAL030,Residential,54.612977,-5.964423
